Place,City,State,Food,Audience,Status
Monkless Belgian Ales,Bend,OR,brewpub,ohana,fav
Blue Star Donuts,Portland,OR,donuts,counter service,fav
Lardo,Portland,OR,sandwiches,counter service,fav
Tonallis Donut Shop,Portland,OR,donuts,counter service,try
Wayfinder Beer,Portland,OR,lagers,ohana,fav
Smash That, Ballard,WA, burgers, ohana,try
CheBogz, Beacon Hill,WA, filipino, counter service,try
Heyday Bar & Restaurant, Beacon Hill,WA, burgers, counter service,try
Stevie's Famous, Beacon Hill,WA, pizza, counter service,try
Cho Dang Tofu, Bellevue,WA, korean, ohana,try
Kuro Sushi, Bellevue,WA, korean sushi, ohana,try
Lari Adda, Bellevue,WA, pakistani, counter service,try
Semicolon Cafe, Bellevue,WA, sandwiches, counter service,try
Bangrak Market, Belltown,WA, thai street, day date,try
Ox Burger, Capitol Hill,WA, lao burger, counter service,try
Pinoyshki, Capitol Hill,WA, filipino bao, counter service,try
Tamari Bar, Capitol Hill,WA, izakaya, day date,try
Local Tide, Fremont,WA, seafood, counter service,try
Matt's Hot Dogs, Georgetown,WA, dogs & burgers, counter service,try
Star Brass Lounge, Georgetown,WA, bar, day date, fav
E-Jae Pak Mor, International District,WA, Thai dumplings, counter service,try
The Boat, International District,WA, Viet chicken rice, counter service,try
Nick's Grill, Kirkland,WA, sandwiches, counter service,try
The Box & Burgers, Kirkland,WA, burgers, counter service,try
Umigawa Sushi, Kirkland,WA, sushi, day date,try
Lotus Pond, Northgate,WA, vietnamese, counter service,try
Big Max Burger Co, Queen Anne,WA, burgers, counter service,try
Kobuta & Ookami, Redmond,WA, katsu, ohana,try
Lee's Kitchen, Redmond,WA, chinese claypot, counter service,try
Exit 5 Korean BBQ, Renton,WA, korean bbq, ohana,try
Triumph Valley, Renton,WA, dim sum, ohana,try
Gyo Gyo En, South Lake Union,WA, local japanese, counter service,try
Saint Bread, U District,WA, bakery cafe, counter service,try
Shaka Snacks, U District,WA, musubi, counter service,try
Little Jaye, West Seattle,WA, bakery cafe, counter service,try
Cafe Munir,Ballard,WA,lebanese,day date,try
Choice Deli & Grocery,Ballard,WA,plate lunch and beer,counter service,try
El Moose,Ballard,WA,mexican brunch,ohana,fav
Mammoth,Ballard,WA,sandwiches and beer,counter service,fav
Un Bien,Ballard,WA,cuban sandwiches,counter service,fav
Watson's Counter,Ballard,WA,korean brunch,counter service,try
Dough Zone Dumpling House,Bellevue,WA,dumplings,ohana,fav
Indigo Cow,Bellevue,WA,ice cream,counter service,fav
Kizuki Ramen and Izakaya,Bellevue,WA,ramen,ohana,fav
The Pumphouse,Bellevue,WA,pub food,day date,fav
Boundary Bay Brewing,Bellingham,WA,pub food,ohana,fav
Bambinos Pizzeria,Belltown,WA,pizza,ohana,fav
Karaage Setsuna,Belltown,WA,karaage,day date,try
Ranch Drive-In,Bothell,WA,burgers,counter service,try
Silver City Restaurant and Alehouse,Bremerton,WA,pub food,ohana,try
Suzy's Kitchen,Bremerton,WA,korean,ohana,try
Ishoni Yakiniku,Capitol Hill,WA,yakiniku,day date,try
Mamnoon,Capitol Hill,WA,middle eastern,ohana,fav
Cheeky Cafe,Central District,WA,local brunch,ohana,fav
Columbia City Ale House,Columbia City,WA,pub food,day date,fav
Pazzo's,Eastlake,WA,dive pizza,day date,fav
Eat Ono Poke,Edmonds,WA,poke,counter service,try
Katsu Burger,Factoria,WA,katsu burgers,counter service,fav
Musashi's,Factoria,WA,sushi,ohana,fav
Red Robin,Factoria,WA,burgers,ohana,fav
Joule,Fremont,WA,korean fusion,day date,try
El Sirenito,Georgetown,WA,seafood tapas,day date,try
