Place,City,State,Food,Audience
Boundary Bay Brewing,Bellingham,WA,pub food,family
Uli's Famous Sausage,Pike Place Market,WA,bratwurst,family
Ray's Cafe,Ballard,WA,seafood,family
Taqueria La Fondita #2,White Center,WA,tacos,family
Suzy's Kitchen,Bremerton,WA,korean,family
Jade Garden,International District,WA,dim sum,family
Yummy Kitchen,Tukwila,WA,meat jun,family
Szechuan Noodle Bowl,International District,WA,chinese soup,family
Mike's Noodle House,International District,WA,chinese soup,family
Imperial Garden Beijing Duck Restaurant,Kent,WA,dim sum,family
Proletariat Pizza,White Center,WA,pizza,family
Saimin Says,Kent,WA,plate lunch,family
La Isla,Ballard,WA,puerto rican,family
Señor Moose Cafe,Ballard,WA,mexican brunch,family
Noodle Boat Thai Cuisine,Issaquah,WA,thai,family
Green Leaf Vietnamese Restaurant,International District,WA,vietnamese,family
Musashi's,Factoria,WA,sushi,family
Zippy's Giant Burgers,White Center,WA,burgers,family
Tilikum Place Cafe,Belltown,WA,brunch,family
Marination Ma Kai,West Seattle,WA,plate lunch,family
Facing East,Bellevue,WA,taiwanese,family
Cactus,Bellevue,WA,mexican brunch,family
Tippe and Drague Alehouse,Beacon Hill,WA,pub food,family
Snoqualmie Falls Brewery and Taproom,Snoqualmie,WA,pub food,family
Byen Bakeri,Queen Anne,WA,scandinavian bakery,family
Fremont Brewing Urban Beer Garden,Fremont,WA,brewery,family
Kizuki Ramen and Izakaya,Lake Hills,WA,ramen,family
Dough Zone Dumpling House,Bellevue,WA,dumplings,family
Tavern Hall,Bellevue,WA,gastropub,family
Bongos,Green Lake,WA,cuban sandwiches,family
Un Bien,Ballard,WA,cuban sandwiches,family
Katsu Burger,Factoria,WA,katsu burgers,family
Engine House No 9,Tacoma,WA,brewery,family
Cheeky Cafe,Central District,WA,local brunch,family
Watershed Pub and Kitchen,Northgate,WA,pizza and beer,family
Bambinos Pizzeria,Belltown,WA,pizza,family
Elliott Bay Public House,West Seattle,WA,pub food,family
Reuben's Brews Taproom,Ballard,WA,brewery,family
Stoup Brewing,Ballard,WA,brewery,family
Mammoth,Ballard,WA,sandwiches and beer,family
Tutta Bella Neapolitan Pizzeria,Crossroads,WA,pizza,family
Sunset Alehouse,Issaquah,WA,pub food,family
The Rockfish Grill and Anacortes Brewery,Anacortes,WA,pub food,family
Bale Breaker Brewing Company,Yakima,WA,ipas,family
Chuckanut Brewery and Kitchen,Burlington,WA,lagers,family
Machine House Brewery,Georgetown,WA,cask beer,family
Silver City Restaurant and Alehouse,Bremerton,WA,pub food,family
Resonate Brewery and Pizzeria,Newport,WA,pizza and brewery,family
Chainline Brewing,Kirkland,WA,brewery,family
Red Robin,Factoria,WA,burgers,family
Pok Pok,Portland,OR,thai,family
Lardo West,Portland,OR,sandwiches,family
Upright Brewing,Portland,OR,farmhouse ales,family
Apizza Scholls,Portland,OR,pizza,family
Blue Star Donuts,Portland,OR,donuts,family
Bunk Sandwiches,Portland,OR,sandwiches,family
Hopworks Urban Brewery,Portland,OR,pub food,family
Pick-Quick Drive In,Georgetown,WA,burgers,family
Airways Brewing Bistro,Kent,WA,pub food,family
Burger Brawler,Bellevue,WA,burgers,family
Cooper's Ale House,Lake City,WA,pub food,adults only
The Noble Fir,Ballard,WA,beer bar,adults only
Pazzo's,Eastlake,WA,dive pizza,adults only
Hilltop Ale House,Queen Anne,WA,pub food,adults only
The Pumphouse,Bellevue,WA,pub food,adults only
Columbia City Ale House,Columbia City,WA,pub food,adults only
Big Time Brewery,University District,WA,pub food,adults only
Beveridge Place Pub,West Seattle,WA,beer bar,adults only
